ball_event_id,innings_id,over_number,ball_number,striker_id,batter_name,bowler_id,runs_off_bat,extras,phase,current_run_rate,required_run_rate,pressure_index,expected_runs,expected_wicket_probability,shot_risk_score,batter_control_score,target_is_wicket,shot_type,shot_zone,ball_impact_score,batting_form_index,innings_batting_form_index
2,1,0,1,15,Manan Gaur,29,1,0,powerplay,12.0,0.0,0.0,1.611,0.024,0.55,0.613,0,lofted,square_leg_inside,0.57517875,0.5112768125,0.5112768125
3,1,0,2,1,Aarav Sharma,29,0,0,powerplay,6.0,0.0,0.003,1.518,0.027,0.473,0.508,0,on_drive,long_on,0.42181250000000003,0.488271875,0.488271875
4,1,0,3,1,Aarav Sharma,29,4,0,powerplay,12.0,0.0,0.006,1.517,0.027,0.624,0.599,0,lofted,mid_on_inside,0.73074375,0.5246426562500001,0.5246426562500001
5,1,0,4,1,Aarav Sharma,29,0,0,powerplay,9.0,0.0,0.009,1.515,0.028,0.475,0.539,0,cut,cover_point_inside,0.43566125,0.5112954453125,0.5112954453125
6,1,0,5,1,Aarav Sharma,29,0,0,powerplay,7.2,0.0,0.011,1.514,0.028,0.476,0.626,0,ramp,short_leg,0.47485,0.505828628515625,0.505828628515625
7,1,0,6,1,Aarav Sharma,29,1,0,powerplay,7.0,0.0,0.014,1.513,0.028,0.478,0.584,0,cut,fine_leg,0.5671325,0.5150242092382813,0.5150242092382813
8,1,1,1,1,Aarav Sharma,22,2,0,powerplay,7.71,0.0,0.017,1.588,0.021,0.479,0.533,0,drive,fine_leg,0.5997362500000001,0.5277310153525391,0.5277310153525391
9,1,1,2,1,Aarav Sharma,22,1,0,powerplay,7.5,0.0,0.02,1.587,0.021,0.48,0.6,0,reverse_sweep,deep_extra_cover,0.5742125,0.5347032380496582,0.5347032380496582
10,1,1,3,15,Manan Gaur,22,2,0,powerplay,8.0,0.0,0.023,1.678,0.018,0.56,0.604,0,square_cut,square_leg_inside,0.6261049999999999,0.528501040625,0.528501040625
11,1,1,4,15,Manan Gaur,22,3,0,powerplay,9.0,0.0,0.026,1.677,0.018,0.562,0.664,0,clip,deep_cover,0.6901649999999999,0.5527506345312501,0.5527506345312501
12,1,1,5,1,Aarav Sharma,22,2,0,powerplay,9.27,0.0,0.028,1.584,0.021,0.484,0.628,0,defence,cover_point_inside,0.6422549999999999,0.5508360023422095,0.5508360023422095
13,1,1,6,1,Aarav Sharma,22,2,0,powerplay,9.5,0.0,0.031,1.582,0.021,0.485,0.555,0,flick,silly_point,0.60924375,0.5595971644908782,0.5595971644908782
14,1,2,1,15,Manan Gaur,24,2,0,powerplay,9.69,0.0,0.034,1.673,0.019,0.565,0.609,0,reverse_sweep,square_leg_inside,0.6280112499999999,0.5640397268515626,0.5640397268515626
15,1,2,2,15,Manan Gaur,24,4,0,powerplay,10.71,0.0,0.037,1.672,0.019,0.717,0.616,0,scoop,fine_leg,0.731905,0.5892195178238282,0.5892195178238282
16,1,2,3,15,Manan Gaur,24,0,0,powerplay,10.0,0.0,0.04,1.671,0.019,0.568,0.683,0,paddle_sweep,mid_on_area,0.49413125,0.5749562776502539,0.5749562776502539
17,1,2,4,15,Manan Gaur,24,1,0,powerplay,9.75,0.0,0.043,1.669,0.019,0.569,0.615,0,cover_drive,short_leg,0.57475125,0.5749255235027159,0.5749255235027159
18,1,2,5,1,Aarav Sharma,24,2,0,powerplay,9.88,0.0,0.045,1.576,0.022,0.492,0.606,0,sweep,deep_extra_cover,0.6317674999999999,0.5704227148172465,0.5704227148172465
19,1,2,6,1,Aarav Sharma,24,2,0,powerplay,10.0,0.0,0.048,1.575,0.022,0.493,0.566,0,cut,fine_leg_inside,0.6136475,0.5769064325946596,0.5769064325946596
20,1,3,1,15,Manan Gaur,23,6,0,powerplay,11.37,0.0,0.051,1.685,0.018,0.723,0.668,0,hook,cover_point_inside,0.792075,0.6074979449773085,0.6074979449773085
21,1,3,2,15,Manan Gaur,23,0,0,powerplay,10.8,0.0,0.054,1.684,0.018,0.574,0.561,0,flick,square_leg_inside,0.43865875,0.5821720657307121,0.5821720657307121
23,1,3,3,15,Manan Gaur,23,1,0,powerplay,10.86,0.0,0.057,1.683,0.018,0.576,0.662,0,clip,fine_leg_inside,0.5954699999999999,0.5841667558711053,0.5841667558711053
24,1,3,4,1,Aarav Sharma,23,1,0,powerplay,10.64,0.0,0.059,1.59,0.021,0.498,0.62,0,slog,fine_leg_inside,0.5819775,0.5776670927054606,0.5776670927054606
26,1,3,5,15,Manan Gaur,23,1,0,powerplay,10.7,0.0,0.062,1.681,0.018,0.578,0.591,0,straight_drive,square_leg_inside,0.56329125,0.5810354299904396,0.5810354299904396
27,1,3,6,1,Aarav Sharma,23,1,0,powerplay,10.5,0.0,0.065,1.587,0.021,0.501,0.54,0,scoop,silly_point,0.5456675,0.5728671537996415,0.5728671537996415
28,1,4,1,1,Aarav Sharma,25,2,0,powerplay,10.56,0.0,0.068,1.595,0.02,0.502,0.523,0,ramp,deep_extra_cover,0.5936137499999999,0.5759791432296952,0.5759791432296952
29,1,4,2,1,Aarav Sharma,25,4,0,powerplay,11.08,0.0,0.071,1.594,0.02,0.653,0.626,0,on_drive,mid_on_area,0.7408975,0.600716896745241,0.600716896745241
30,1,4,3,1,Aarav Sharma,25,0,0,powerplay,10.67,0.0,0.074,1.593,0.02,0.505,0.534,0,lofted_drive,deep_square_leg,0.43130499999999994,0.5753051122334547,0.5753051122334547
31,1,4,4,1,Aarav Sharma,25,1,0,powerplay,10.5,0.0,0.077,1.592,0.021,0.506,0.534,0,straight_drive,long_off,0.54261,0.5704008453984365,0.5704008453984365
32,1,4,5,15,Manan Gaur,25,1,0,powerplay,10.34,0.0,0.079,1.683,0.018,0.586,0.578,0,pull,long_off,0.5568649999999999,0.5774098654918736,0.5774098654918736
33,1,4,6,1,Aarav Sharma,25,4,0,powerplay,10.8,0.0,0.082,1.589,0.021,0.658,0.569,0,reverse_sweep,fine_leg_inside,0.7148262499999999,0.592064656088671,0.592064656088671
34,1,5,1,15,Manan Gaur,29,4,0,powerplay,11.23,0.0,0.085,1.576,0.028,0.738,0.541,0,reverse_sweep,fine_leg_inside,0.69659125,0.5952870731680926,0.5952870731680926
35,1,5,2,15,Manan Gaur,29,1,0,powerplay,11.06,0.0,0.088,1.574,0.028,0.59,0.612,0,defence,mid_on_inside,0.5719275,0.5917831371928787,0.5917831371928787
36,1,5,3,1,Aarav Sharma,29,1,0,powerplay,10.91,0.0,0.091,1.481,0.031,0.512,0.507,0,straight_drive,cover_point_inside,0.53000625,0.5827558951753703,0.5827558951753703
37,1,5,4,15,Manan Gaur,29,2,0,powerplay,10.94,0.0,0.094,1.572,0.029,0.592,0.616,0,sweep,cover_inside,0.62928,0.5974076666139468,0.5974076666139468
38,1,5,5,15,Manan Gaur,29,4,0,powerplay,11.31,0.0,0.096,1.571,0.029,0.743,0.63,0,clip,mid_on_inside,0.7364025,0.6182568916218548,0.6182568916218548
39,1,5,6,15,Manan Gaur,29,1,0,powerplay,11.17,0.0,0.099,1.57,0.029,0.595,0.64,0,clip,mid_off,0.5842125,0.6131502328785766,0.6131502328785766
40,1,6,1,15,Manan Gaur,22,1,0,middle,11.03,0.0,0.102,1.645,0.022,0.596,0.676,0,late_cut,short_leg,0.6003875000000001,0.6112358229467901,0.6112358229467901
41,1,6,2,1,Aarav Sharma,22,0,0,middle,10.74,0.0,0.105,1.551,0.025,0.519,0.64,0,lofted_drive,short_leg,0.4781575,0.5670661358990647,0.5670661358990647
42,1,6,3,1,Aarav Sharma,22,0,0,middle,10.46,0.0,0.108,1.55,0.025,0.52,0.634,0,paddle_sweep,deep_square_leg,0.47538,0.5533132155142051,0.5533132155142051
43,1,6,4,1,Aarav Sharma,22,2,0,middle,10.5,0.0,0.111,1.549,0.025,0.521,0.534,0,defence,long_off,0.5972474999999999,0.5599033581870744,0.5599033581870744
44,1,6,5,1,Aarav Sharma,22,0,0,middle,10.24,0.0,0.113,1.548,0.025,0.522,0.625,0,pull,short_leg,0.47117875,0.5465946669590132,0.5465946669590132
45,1,6,6,1,Aarav Sharma,22,4,0,middle,10.57,0.0,0.116,1.547,0.025,0.674,0.528,0,hook,silly_mid_wicket,0.695205,0.5688862169151612,0.5688862169151612
46,1,7,1,15,Manan Gaur,24,6,0,middle,11.16,0.0,0.119,1.638,0.022,0.754,0.643,0,ramp,mid_on_inside,0.7786237500000001,0.6363440120047716,0.6363440120047716
47,1,7,2,15,Manan Gaur,24,4,0,middle,11.45,0.0,0.122,1.636,0.023,0.755,0.676,0,reverse_sweep,deep_extra_cover,0.75632,0.6543404102040559,0.6543404102040559
48,1,7,3,15,Manan Gaur,24,1,0,middle,11.33,0.0,0.125,1.635,0.023,0.606,0.556,0,reverse_sweep,silly_point,0.5455375,0.6380199736734475,0.6380199736734475
49,1,7,4,1,Aarav Sharma,24,6,0,middle,11.87,0.0,0.128,1.542,0.026,0.679,0.669,0,defence,deep_cover,0.79560625,0.602894221877887,0.602894221877887
50,1,7,5,1,Aarav Sharma,24,0,0,middle,11.62,0.0,0.13,1.541,0.026,0.53,0.561,0,late_cut,silly_mid_wicket,0.44173874999999996,0.578720901096204,0.578720901096204
51,1,7,6,1,Aarav Sharma,24,1,0,middle,11.5,0.0,0.133,1.539,0.026,0.531,0.614,0,late_cut,silly_mid_on,0.57696,0.5784567659317734,0.5784567659317734
52,1,8,1,1,Aarav Sharma,23,2,0,middle,11.51,0.0,0.136,1.557,0.024,0.533,0.595,0,straight_drive,cover_point_inside,0.62393375,0.5852783135420074,0.5852783135420074
53,1,8,2,1,Aarav Sharma,23,4,0,middle,11.76,0.0,0.139,1.556,0.024,0.684,0.655,0,ramp,deep_extra_cover,0.7518137500000001,0.6102586290107064,0.6102586290107064
54,1,8,3,1,Aarav Sharma,23,2,0,middle,11.76,0.0,0.142,1.555,0.024,0.535,0.636,0,clip,square_leg_inside,0.642295,0.6150640846591005,0.6150640846591005
55,1,8,4,1,Aarav Sharma,23,2,0,middle,11.77,0.0,0.145,1.553,0.025,0.537,0.618,0,lofted,deep_extra_cover,0.6340325,0.6179093469602354,0.6179093469602354
56,1,8,5,1,Aarav Sharma,23,1,0,middle,11.66,0.0,0.147,1.553,0.025,0.538,0.598,0,late_cut,third_point,0.56925,0.6106104449162001,0.6106104449162001
57,1,8,6,15,Manan Gaur,23,1,0,middle,11.56,0.0,0.15,1.644,0.022,0.618,0.673,0,scoop,third_point,0.59749375,0.6319410401224304,0.6319410401224304
58,1,9,1,15,Manan Gaur,25,1,0,middle,11.45,0.0,0.153,1.652,0.021,0.619,0.555,0,reverse_sweep,short_leg,0.54417625,0.6187763216040658,0.6187763216040658
59,1,9,2,1,Aarav Sharma,25,0,0,middle,11.25,0.0,0.156,1.558,0.024,0.542,0.601,0,clip,silly_mid_wicket,0.45894875,0.5878611906787701,0.5878611906787701
60,1,9,3,1,Aarav Sharma,25,4,0,middle,11.47,0.0,0.159,1.557,0.024,0.693,0.549,0,lofted,fine_leg_inside,0.70335125,0.6051846995769545,0.6051846995769545
61,1,9,4,1,Aarav Sharma,25,4,0,middle,11.69,0.0,0.162,1.556,0.024,0.694,0.561,0,square_cut,deep_extra_cover,0.70869625,0.6207114321404112,0.6207114321404112
